state,formula_model,status,source_url,last_verified,notes
Federal,shared_engine,SHIPPED,https://www.irs.gov/pub/irs-drop/rp-25-32.pdf,2026-07-26,"IRS Revenue Procedure 2025-32 (incorporates OBBBA changes). 2026 single-filer standard deduction $16,100; brackets 10/12/22/24/32/35/37% at $12,400/$50,400/$105,700/$201,775/$256,225/$640,600. FICA: SS 6.2% up to $184,500 wage base, Medicare 1.45% + 0.9% additional over $200,000, per Paycor/Paychex/Mercer Advisors payroll-industry corroboration."
Texas,no_income_tax,SHIPPED,https://comptroller.texas.gov/,2026-07-26,"No state income tax, Tex. Const. art. VIII §24 (2019 voter-approved amendment). No local income tax."
Florida,no_income_tax,SHIPPED,https://floridarevenue.com/,2026-07-26,"No state income tax, Fla. Const. art. VII §5 (since 1924). No local income tax."
Pennsylvania,flat_tax,SHIPPED,https://www.revenue.pa.gov/,2026-07-26,"Flat 3.07% since 2004, no standard deduction/exemption. Local EIT (1-3.9%+, Philadelphia highest) explicitly excluded and disclosed via local_tax_note — often exceeds the state tax itself."
Illinois,flat_tax,SHIPPED,https://tax.illinois.gov/,2026-07-26,"Flat 4.95% (IL Constitution art. IX §3 prohibits graduated rates). Personal exemption $2,425/filer for 2026. No local income tax."
Georgia,flat_tax,SHIPPED,https://gov.georgia.gov/press-releases/2026-05-11/gov-kemp-signs-legislation-lowering-taxes-and-supporting-economic-growth,2026-07-26,"HB 463 signed 2026-05-11 cut flat rate from 5.19% to 4.99%, retroactive to 2026-01-01. Standard deduction $15,000 single. Verified via Governor's office primary press release after DOR direct page returned no relevant press release; corroborated by dor.georgia.gov withholding guide per Bloomberg Tax. No local income tax."
North Carolina,flat_tax,SHIPPED,https://www.ncdor.gov/taxes-forms/individual-income-tax/tax-rate-schedules,2026-07-26,"Flat 3.99% for taxable years after 2025 (Session Law 2023-134 phase-down), read directly from NCDOR Tax Rate Schedules page. Standard deduction $12,750 single (current law) — pending bill S437 would raise to $13,000 but not enacted as of last_verified date, flagged for recheck. No local income tax."
Michigan,flat_tax,SHIPPED,https://www.michigan.gov/taxes,2026-07-26,"Flat 4.25% for 2026 (MCL 206.51). Personal exemption $5,900 per Treasury 2026 Withholding Guide (Form 446). Local city tax (Detroit 2.4% residents, others) excluded and disclosed via local_tax_note."
California,progressive_brackets,SHIPPED,https://www.ftb.ca.gov/,2026-07-26,"9 marginal brackets 1%-12.3% plus 1% Mental Health Services Tax over $1,000,000 (13.3% top effective). Standard deduction $5,706 single. FTB has not published final inflation-indexed 2026 dollar thresholds as of last_verified (typically released fall) — used most recently projected figures (ustax.tools cross-check of FTB rate structure), flagged for recheck once FTB publishes final 2026 numbers. SDI 1.3% employee, no wage cap since 2024, added as extra_payroll_tax."
New York,progressive_brackets,SHIPPED,https://www.tax.ny.gov/,2026-07-26,"9 brackets 4%-10.9% for single filers, FY2026 budget cut bottom 5 bracket rates 0.1pt. Standard deduction $8,000 single. PFL 0.432% capped $411.91/yr (NY OSC Payroll Bulletin 2402) added as extra_payroll_tax. NYC/Yonkers local tax (3.078%-3.876%) excluded and disclosed via local_tax_note — largest local-tax gap in this 10-state set given NYC population share of NY search volume."
Ohio,progressive_brackets,SHIPPED,https://tax.ohio.gov/individual/resources/annual-tax-rates,2026-07-26,"Completion of multi-year phase-down: 0% up to $26,050, flat 2.75% above, for 2026. Direct fetch of tax.ohio.gov failed (DNS/network error in this environment) — used corroboration across 5+ independent secondary sources (ustax.tools, americantaxservice.org, darkhorse.cpa, countrytaxcalc.com, prosalarytax.com) all citing the same single-2.75%-bracket structure and tax.ohio.gov as source, per plan's explicit flag that OH numbers were unsettled in secondary aggregators. Flagged for direct primary-source re-verification when tax.ohio.gov is reachable. Municipal income tax (600+ cities, 1-3%, often exceeds state tax) excluded and disclosed via local_tax_note — highest-priority local-tax gap in this set."
